Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-10-1,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-10-1,"Tap water","2.00 cup",0.00,0.00,0.00,473.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-1,"Rice, brown with egg, cheese and vegetables","20.00 oz",1065.94,,,372.51,0.74,4.08,0.79,4.48,2.32,0.74,192.78,1768.50,38.56,1.98,3.97,,720.08,0.91,6.97,170.10,2.15,901.51,1241.71,28.35,640.70,6.41,79.95,2.27,62.37,11.91,67.47,447.92,32.89,,,6.24,22.68,,,,,,,,,39.69,,,,
2016-10-1,"Wheat bread","2.00 thin slice - 4 1/4"" x 4"" x 3/8""",106.80,0.00,0.00,14.08,0.17,0.00,0.10,2.25,0.33,0.04,34.00,0.80,0.08,0.00,0.08,1.96,53.20,0.06,1.40,18.00,0.47,59.60,70.80,11.52,203.20,0.48,19.47,1.60,14.41,2.36,1.30,0.00,0.24,0.05,0.54,0.60,0.31,0.01,0.05,0.05,0.09,0.16,0.07,0.04,0.11,4.29,0.07,0.03,0.06,0.10
2016-10-2,"Wheat bread","8.00 thin slice - 4 1/4"" x 4"" x 3/8""",427.20,0.00,0.00,56.32,0.66,0.00,0.40,8.99,1.31,0.18,136.00,3.20,0.32,0.00,0.30,7.84,212.80,0.25,5.58,72.00,1.88,238.40,283.20,46.08,812.80,1.90,77.89,6.40,57.63,9.46,5.18,0.00,0.97,0.22,2.18,2.40,1.24,0.04,0.21,0.20,0.35,0.62,0.29,0.14,0.42,17.15,0.28,0.12,0.22,0.42
2016-10-2,"Eggs, cooked","2.00 medium",136.40,0.00,0.00,65.67,0.06,0.98,0.45,0.06,1.23,0.11,38.72,457.60,0.00,76.56,0.91,0.26,44.00,0.01,1.05,8.80,0.02,151.36,110.88,27.10,109.12,0.92,0.99,0.00,0.00,0.99,9.34,328.24,3.59,0.06,1.18,1.24,2.87,0.00,0.26,0.26,0.60,0.95,0.80,0.34,0.59,11.07,0.53,0.13,0.45,0.67
2016-10-2,"Avocado, black skin, California type","1.00 each",227.12,0.00,0.00,98.37,0.10,0.00,0.19,2.60,1.99,0.39,121.04,199.92,11.97,0.00,2.62,28.56,17.68,0.23,0.83,39.44,0.20,73.44,689.52,0.54,10.88,0.92,11.75,9.25,0.15,0.41,20.96,0.00,13.33,0.15,2.28,2.47,2.89,0.00,0.04,0.07,0.11,0.19,0.18,0.05,0.13,2.67,0.10,0.03,0.07,0.14
2016-10-2,"Mayonnaise, from soybeans (vegan)","1.00 tbsp",37.85,0.00,0.00,9.19,0.01,0.00,0.02,0.02,0.01,0.01,2.92,0.49,0.09,0.00,0.76,3.89,5.72,0.02,0.28,4.68,0.04,13.27,27.90,1.43,114.82,0.06,1.00,0.32,0.07,0.62,3.50,0.00,0.74,0.13,2.00,2.13,0.46,0.02,0.01,0.02,0.04,0.07,0.06,0.01,0.05,0.90,0.04,0.01,0.03,0.04
2016-10-2,"Shortbread cookie, bakery","1.00 each - approx 1 1/2"" x 1""",102.61,0.00,0.00,1.24,0.08,0.00,0.05,0.62,0.05,0.00,13.33,0.00,0.00,0.00,0.06,2.79,1.58,0.02,0.48,2.29,0.07,11.25,11.19,3.54,0.23,0.07,10.03,0.32,7.60,2.11,6.51,0.00,3.75,0.00,0.84,0.84,1.61,1.91,0.02,0.02,0.04,0.07,0.02,0.02,0.05,1.08,0.03,0.01,0.03,0.04
2016-10-2,"Tap water","4.00 cup",0.00,0.00,0.00,947.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.44,0.09,0.00,9.48,0.00,0.00,0.00,0.00,37.92,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-2,"Biryani (Indian seasoned rice), without meat","3.00 cup",340.24,0.00,0.00,425.09,0.15,0.00,0.15,1.56,1.15,0.38,64.04,2888.00,41.69,0.00,1.77,61.52,68.71,0.23,2.62,47.85,1.47,111.48,350.60,16.39,480.38,1.45,63.99,5.58,52.81,3.59,6.93,0.00,4.63,0.12,0.72,0.84,1.06,0.01,0.12,0.16,0.31,0.52,0.33,0.14,0.34,7.72,0.27,0.09,0.22,0.41
